id,nama,username,namapaket,hari,jamsesi,bulanMember,harga,diskon_aktif,nominal_diskon
1,Alexandra,alexandra,SUN,Senin,6.00-7.00,3,450,0,0
2,Celine,celine,MOON,Selasa,16.00-17.00,7,500,1,15
3,Keisha,keisha,STAR,Sabtu,16.00-17.00,10,650,1,30
4,Bryan,bryan,SUN,Rabu,7.00-8.00,2,450,0,0
5,Clarissa,clarissa,MOON,Kamis,17.00-18.00,9,500,1,30
6,Devin,devin,STAR,Minggu,18.00-19.00,4,650,0,0
7,Eleanor,eleanor,SUN,Jumat,8.00-9.00,12,450,1,30
8,Felix,felix,MOON,Senin,19.00-20.00,1,500,0,0
9,Giselle,giselle,STAR,Sabtu,20.00-21.00,8,650,1,15
10,Hayden,hayden,SUN,Selasa,9.00-10.00,5,450,0,0
11,Isabelle,isabelle,MOON,Rabu,20.00-21.00,11,500,1,30
12,Jaxon,jaxon,STAR,Minggu,21.00-22.00,6,650,1,15
13,Kayla,kayla,SUN,Kamis,10.00-11.00,3,450,0,0
14,Liam,liam,MOON,Jumat,21.00-22.00,8,500,1,15
15,Mila,mila,STAR,Sabtu,16.00-17.00,2,650,0,0
16,Nolan,nolan,SUN,Senin,11.00-12.00,9,450,1,30
17,Olivia,olivia,MOON,Selasa,22.00-23.00,4,500,0,0
18,Phoenix,phoenix,STAR,Minggu,17.00-18.00,12,650,1,30
19,Quinn,quinn,SUN,Rabu,12.00-13.00,7,450,1,15
20,Riley,riley,MOON,Kamis,16.00-17.00,10,500,1,30
<<<<<<< HEAD
21,meiyie,my,SUN,Senin-Jumat,6.00-7.00,2,450,0,0
22,omyy,tirizzzmen,MOON,Kamis,17.00-18.00,1,500,0,0
=======
21,risma,tirizmen,STAR,Sabtu,16.00-17.00,3,650,0,0
22,egi,egi,SUN,Kamis,7.00-8.00,4,450,0,0
23,erf,erf,SUN,Senin,8.00-9.00,4,450,0,0
24,rafly,raf,SUN,Senin,14.00-15.00,2,450,0,0
>>>>>>> 32b12dc76af6a3f4a6cf8e4064477041b956f63c
